activation,lr,batch_size,epochs,MAE,MSE,Spearman
elu,0.001,70,30,6.774206161,68.15789795,0.1280512175
tanh,0.001,50,30,6.983406544,68.2873764,0.06615415039
leaky_relu,0.01,100,30,7.049538612,68.39607239,0.1143792828
swish,0.01,50,100,7.008899212,68.47016144,0.1099720853
swish,0.001,20,30,6.96549654,68.47434998,0.08800153257
leaky_relu,0.001,20,30,7.100403786,68.63226318,0.1318772037
elu,0.01,50,50,7.108415604,68.81878662,0.2072806951
leaky_relu,0.1,20,200,7.144316673,69.06195831,0.1616305977
sigmoid,0.001,100,50,6.83929348,69.45213318,0.08908522002
elu,0.001,10,10,7.060006142,69.45233917,0.08248195081
leaky_relu,0.1,100,30,6.968630791,69.56887817,0.1834009983
leaky_relu,0.001,10,30,7.101249218,69.57168579,0.1473197156
tanh,0.01,20,30,6.891005993,69.94355011,0.1854487092
sigmoid,0.01,20,50,6.830866337,70.07015991,0.06654675662
tanh,0.001,10,30,6.799693108,70.22874451,0.08153507695
leaky_relu,0.01,20,100,7.104161263,70.40470886,0.07423337082
elu,0.01,10,10,7.123054028,70.44184113,0.1656875288
leaky_relu,0.001,10,200,7.121999264,70.60041046,0.1537207368
leaky_relu,0.001,20,100,7.170353889,70.68450928,0.1206725297
elu,0.001,50,200,7.27634716,70.90302277,0.1015233531
elu,0.1,100,200,7.022978783,71.08776093,0.1200220351
sigmoid,0.001,10,50,6.957881927,71.10978699,0.176711296
elu,0.1,70,200,7.125011921,71.15033722,0.1890860905
leaky_relu,0.1,100,200,7.167435646,71.52874756,0.1703603128
elu,0.01,50,100,7.263545513,71.5606842,0.09633864141
sigmoid,0.001,10,100,7.137018681,71.62008667,-0.06909869714
elu,0.01,70,30,7.150553703,71.67566681,0.1303914586
swish,0.1,10,30,7.124901772,71.72879028,0.2036356156
elu,0.01,70,200,7.192831516,71.78044891,0.1992091728
swish,0.001,10,100,7.041944981,71.94358826,0.05903335105
leaky_relu,0.001,70,100,7.224496365,71.99378204,0.1907604406
sigmoid,0.001,20,50,7.137290001,72.0252533,0.143905581
sigmoid,0.01,20,10,6.991033077,72.21224976,0.1442558473
swish,0.01,70,10,6.748003006,72.3981781,0.1891207322
tanh,0.01,50,30,7.017029285,72.41299438,0.1342674829
swish,0.01,50,30,7.195663452,72.41736603,0.1485745159
leaky_relu,0.001,20,200,7.231503487,72.49610901,0.2058488371
sigmoid,0.001,20,200,7.139764786,72.52314758,0.1939898194
sigmoid,0.001,50,50,6.985859394,73.09355164,0.0705844423
tanh,0.01,100,50,7.098016262,73.18345642,0.1346485419
swish,0.01,100,50,7.388718605,73.36161804,0.1397639701
elu,0.1,10,10,7.224612236,73.36990356,0.1309303299
leaky_relu,0.1,50,200,7.247824192,73.37090302,0.2558791883
tanh,0.01,50,200,7.08836031,73.41644287,0.1011884831
tanh,0.01,50,10,6.796062469,73.56803894,0.1429202163
swish,0.001,20,50,7.301305771,73.69393921,0.1845518734
tanh,0.01,50,50,7.151264191,73.81022644,0.1286901649
sigmoid,0.1,100,50,7.359289646,74.04636383,-0.08007627536
elu,0.001,50,50,7.365973949,74.06385803,0.1029783057
sigmoid,0.001,20,30,7.297977924,74.1387558,0.1317347877
sigmoid,0.01,20,200,7.303696632,74.1422348,0.04167399699
elu,0.001,50,100,7.405202866,74.32023621,0.07169682663
swish,0.001,70,10,6.965221882,74.33800507,0.06556524103
leaky_relu,0.001,20,50,7.227252007,74.43016052,0.2010143917
leaky_relu,0.001,50,50,7.303226948,74.50263977,0.1573619672
elu,0.01,70,50,7.434958935,74.59429169,0.08373675113
sigmoid,0.1,100,10,7.508868217,74.64002991,-0.02124692559
sigmoid,0.001,10,200,7.216995239,74.82963562,0.03618905696
tanh,0.001,50,10,6.777764797,74.92398834,0.0573859445
